FIS TARIHI,ALACAK,ExpectedValue,ExpectedLow,ExpectedHigh,RawScore,Anomaly,BatchStart,BatchEnd
2019-07-03 00:00:00,6855040.220000003,6806029.177151598,6341036.908127352,7271021.446175844,0,0,,
2019-07-04 00:00:00,3656001.6099999994,3700135.7313211323,3281413.2552868864,4118858.207355378,0,0,,
2019-07-05 00:00:00,4497786.110000003,4459990.27216978,4101402.2607555343,4818578.283584026,0,0,,
2019-07-06 00:00:00,19048.949999999997,56844.78783022358,'-301743.2235840224,415432.7992444695,0.2638426453,0,,
2019-07-07 00:00:00,4326.71,39735.00099385994,'-296201.15981038596,375671.16179810587,0,0,,
2019-07-08 00:00:00,5235832.300000003,5200835.370751597,4868802.004507351,5532868.736995843,0,0,,
2019-07-09 00:00:00,1498472.7800000003,1533060.8995756784,1204906.1151014324,1861215.6840499244,0,0,,
2019-07-10 00:00:00,840564.1699999997,807137.4003879579,490000.92369371204,1124273.8770822037,0,0,,
2019-07-11 00:00:00,1730658.2400000002,1764085.009612042,1446948.5329177962,2081221.4863062878,0,0,,
2019-07-12 00:00:00,2977817.129999999,2944390.360387957,2627253.8836937114,3261526.837082203,0,0,,
2019-07-13 00:00:00,179513.52,144925.40042432188,'-183229.38404992403,473080.1848985678,0,0,,
2019-07-14 00:00:00,74700.11,109288.22957567812,'-218866.5548985678,437443.01404992404,0,0,,
2019-07-15 00:00:00,23781.85,58369.969575678115,'-269784.8148985678,386524.754049924,0,0,,
2019-07-16 00:00:00,2984277.0800000005,2950850.310387959,2633713.833693713,3267986.7870822046,0,0,,
2019-07-17 00:00:00,2375330.5300000003,2408757.299612042,2091620.8229177962,2725893.776306288,0,0,,
2019-07-18 00:00:00,1502219.2500000005,1535646.0196120422,1218509.5429177964,1852782.496306288,0,0,,
2019-07-19 00:00:00,5635643.540000001,5601055.420424323,5272900.635950076,5929210.204898569,0,0,,
2019-07-20 00:00:00,39841.32,74838.2492484054,'-257195.1169958405,406871.6154926513,0,0,,
2019-07-21 00:00:00,1074,0,'-332033.3662442459,332033.3662442459,0,0,,
2019-07-22 00:00:00,4077132.7300000023,4111720.84957568,3783566.0651014345,4439875.634049926,0,0,,
2019-07-23 00:00:00,2003448.84,2037088.16299386,1717935.086089614,2356241.239898106,0,0,,
2019-07-24 00:00:00,5143177.000000002,5109537.677006142,4790384.600101897,5428690.753910388,0,0,,
2019-07-25 00:00:00,2190081.31,2223720.63299386,1904567.5560896143,2542873.709898106,0,0,,
2019-07-26 00:00:00,873978.87,840339.54700614,521186.4701018941,1159492.6239103859,0,0,,
2019-07-27 00:00:00,58889.66,93477.77957567811,'-234677.0048985678,421632.564049924,0,0,,
2019-07-28 00:00:00,5642.7300000000005,40230.84957567812,'-287923.9348985678,368385.63404992403,0,0,,
2019-07-29 00:00:00,1986429.8300000015,1951841.7104243233,1623686.9259500774,2279996.4948985693,0,0,,
2019-07-30 00:00:00,2824337.06,2858925.179575678,2530770.395101432,3187079.9640499237,0,0,,
2019-07-31 00:00:00,31185622.52999998,23306599.780393176,22970663.61958893,23642535.94119742,0.5876794117,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-08-01 00:00:00,0,38105.10466658721,'-323417.0758576587,399627.2851908331,0,0,,
2019-08-05 00:00:00,0,45069.32583022359,'-382525.9029840224,472664.55464446964,0,0,,
2019-08-21 00:00:00,0,0,'-427595.228814246,427595.228814246,0,0,,
2019-08-27 00:00:00,0,45069.32583022359,'-382525.9029840224,472664.55464446964,0,0,,
2019-08-31 00:00:00,0,0,'-464992.26902424596,464992.26902424596,0,0,,
2019-09-01 00:00:00,0,49740.090848405416,'-422169.0210758406,521649.20277265145,0,0,,
2019-09-03 00:00:00,0,0,'-464992.26902424596,464992.26902424596,0,0,,
2019-09-13 00:00:00,0,49740.090848405416,'-422169.0210758406,521649.20277265145,0,0,,
2019-09-18 00:00:00,0,46472.64335749632,'-394436.56049674976,487381.84721174237,0,0,,
2019-09-20 00:00:00,0,0,'-440909.20385424607,440909.20385424607,0,0,,
2019-09-25 00:00:00,0,0,'-427595.228814246,427595.228814246,0,0,,
2019-09-26 00:00:00,0,0,'-440909.20385424607,440909.20385424607,0,0,,
2019-09-27 00:00:00,0,46472.64335749632,'-394436.56049674976,487381.84721174237,0,0,,
2019-09-30 00:00:00,0,45069.32583022359,'-382525.9029840224,472664.55464446964,0,0,,
2019-10-01 00:00:00,28336580.699999996,21996721.308658365,21569126.07984412,22424316.53747261,0.5591062877,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-10-02 00:00:00,3374470.83,8852504.113872843,8424908.885058597,9280099.342687089,0.5524308903,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-10-03 00:00:00,2791863.9000000004,2746794.574169777,2319199.3453555307,3174389.802984023,0,0,,
2019-10-04 00:00:00,2895861.270000005,2942333.9133575014,2501424.7095032553,3383243.1172117474,0,0,,
2019-10-05 00:00:00,340708.67,294013.02584250364,'-149011.89810174232,737037.9497867497,0,0,,
2019-10-06 00:00:00,69257.6,19517.50915159459,'-452391.6027726514,491426.6210758406,0,0,,
2019-10-07 00:00:00,3515673.2100000004,3565413.300848406,3093504.18892416,4037322.4127726518,0,0,,
2019-10-08 00:00:00,5480766.400000001,5431026.309151595,4959117.1972273495,5902935.421075841,0,0,,
2019-10-09 00:00:00,2893743.4500000016,2943483.540848407,2471574.428924161,3415392.652772653,0,0,,
2019-10-10 00:00:00,4103937.859999998,4054197.7691515926,3582288.6572273467,4526106.881075839,0,0,,
2019-10-11 00:00:00,1749711.7699999998,1803057.346375678,1296941.190511432,2309173.502239924,0,0,,
2019-10-12 00:00:00,136027.01,82681.43362432186,'-423434.7222399241,588797.5894885679,0,0,,
2019-10-13 00:00:00,14819.59,64559.68084840542,'-407349.4310758406,536468.7927726514,0,0,,
2019-10-14 00:00:00,4043110.52,3993370.4291515946,3521461.3172273487,4465279.541075841,0,0,,
2019-10-15 00:00:00,1369733.06,1419473.1508484054,947564.0389241595,1891382.2627726514,0,0,,
2019-10-16 00:00:00,4288411.590000002,4238671.499151596,3766762.38722735,4710580.611075842,0,0,,
2019-10-17 00:00:00,659902.1400000001,712124.00059386,216669.09820961417,1207578.902978106,0,0,,
2019-10-18 00:00:00,2832254.9299999964,2778909.3536243183,2272793.197760072,3285025.5094885645,0,0,,
2019-10-19 00:00:00,9170.64,62516.216375678145,'-443599.9394885679,568632.3722399242,0,0,,
2019-10-20 00:00:00,381.4,52603.26059385995,'-442851.64179038594,548058.1629781058,0,0,,
2019-10-21 00:00:00,3522257.6200000015,3470035.7594061415,2974580.8570218957,3965490.6617903872,0,0,,
2019-10-22 00:00:00,5054713.650000001,5103791.464557498,4638165.698943252,5569417.230171744,0,0,,
2019-10-23 00:00:00,3167821.620000002,1995213.4532112344,1499758.5508269886,2490668.35559548,0.4449565938,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-10-24 00:00:00,1820819.2299999995,1767473.6536243213,1261357.4977600754,2273589.8094885675,0,0,,
2019-10-25 00:00:00,2929352.4699999974,2986411.0097938576,2445068.1134996116,3527753.9060881035,0,0,,
2019-10-26 00:00:00,151532.81999999998,94474.28020614001,'-446868.61608810595,635817.176500386,0,0,,
